,shop_id,address,城市,company_registered_address,abbreviation,name,总计,通过数,拒绝数,接受数,接受金额,longitude,latitude
583,19211692,东莞市东莞市东城街道东纵大道189号设计大厦1-3楼,东莞市,东莞市东城街道东纵大道189号设计大厦1-3楼,东莞非凡,东莞市东城非凡美容医院有限公司,6,1,5,1,30000.00元,23.033581,113.784767
584,19211693,天津天津市南开区怀安路与三潭路交口东北侧兴业家园公建2号楼-110.117.201.202.203.204,天津,天津市南开区怀安环路与三潭路交口东北侧兴业家园公建2号楼-110、117、201、202、203、204,津还美,天津南开区还美医疗美容门诊部,97,20,77,20,391750.00元,39.124104,117.157669
585,19211695,武汉市江汉区新华路248号新314号登月大厦1-5层,武汉市,江汉区新华路248号新314号登月大厦1-5层,鄂韩辰医,武汉韩辰医疗美容医院有限公司,73,32,41,32,470840.00元,30.59081,114.27471
586,19211696,金华市婺城区苏孟乡八一南街2020号,金华市,,金华美辰,金华市美辰医疗美容有限公司,5,1,4,1,30000.00元,29.05111,119.65768
587,19211697,镇江市镇江市润州区万达广场DB1栋9层,镇江市,镇江市润州区万达广场DB1栋9层,镇江瑞丽,润州瑞丽医疗美容门诊部,24,5,19,5,97380.00元,32.199509,119.456352
588,19211698,广州市广州市天河区花城大道663号一，二层,广州市,,广州慕美,广州慕美医疗企业管理咨询有限公司,12,1,11,1,23260.00元,23.11806,113.34213
589,19211699,长沙市湖南省长沙市岳麓区洋湖街道坪塘路337号和顺逸品苑商业5号楼第一层101、101复号,长沙市,湖南省长沙市岳麓区洋湖街道坪塘路337号和顺逸品苑商业5号楼第一层101、101复号,湘瑞铂诗,湖南瑞铂诗医疗整形美容有限公司,57,38,19,38,1008700.00元,28.12881,112.93903
590,19211700,青岛市青岛市市北区辽宁路94号,青岛市,青岛市市北区辽宁路94号,鲁博士美,市北区博士医院,281,185,96,184,2955027.00元,36.08334,120.33982
591,19211701,上海上海市静安区凤阳路558号一层二层、560号一层二层,上海,上海市静安区凤阳路558号一层、二层，560号,江依南,上海江依南医疗美容门诊部有限公司,23,14,9,14,328780.00元,31.2329,121.4659
592,19211702,贵阳市贵州省贵阳市观山湖区美的林城时代第E-03，F-01栋6层1、2、3、4、23、24、25、26、27号,贵阳市,贵州省贵阳市观山湖区美的林城时代第E-03，F-01栋6层1、2、3、4、23、24、25、26、27号,颜之美,贵阳颜之美医疗投资管理有限公司,6,2,4,2,39580.00元,26.63929,106.65226
593,19211703,贵阳市贵州省贵阳市观山湖区金阳南路298号睿力上城（世纪警苑）第B1/B2/B3一层14号房,贵阳市,贵州省贵阳市观山湖区金阳南路298号睿力上城（世纪警苑）第B1/B2/B3一层14号房,贵阳利美,贵阳利美康医院门诊部有限公司,3,0,3,0,0.00元,26.60782,106.62096
594,19211704,济南市历下区泺源大街6号新闻大厦5楼,济南市,历下区泺源大街6号,鲁熙美人,济南历下熙美人医疗美容诊所,300,185,115,185,3732355.00元,36.66019,117.0365
595,19211705,台州市台州市巨鼎国际商厦112-115号,台州市,台州市巨鼎国际商厦112-115号,韩黛美,台州韩黛美医疗美容有限公司,55,31,24,31,686665.00元,28.65097,121.412987
596,19211706,杭州市杭州市西湖区古墩路387-1号二楼,杭州市,杭州市西湖区古墩路387-1号二楼,杭州华梦,杭州华梦医疗美容诊所有限公司,34,15,19,15,293800.00元,30.28223,120.09922
597,19211707,武汉市洪山区珞南街珞狮北段2号樱花大厦b座207号商铺,武汉市,洪山区珞南街珞狮北路2号樱花大厦b座207号商铺,鄂聚医医,武汉洪山聚医医疗美容门诊部,138,71,67,71,1362915.00元,30.53323,114.355583
598,19211708,济南市济南市历下区花园路189号一楼东侧,济南市,山东省济南市历下区花园路189号一楼东侧,济悦佳人,济南悦佳人丽格医疗美容门诊部有限公司,4,2,2,2,41200.00元,36.68182,117.05213
599,19211709,唐山市唐山市体育馆道4号,唐山市,唐山市体育馆道4号,唐山金荣,唐山金荣医院,178,79,99,77,1188394.00元,39.64037,118.18829
600,19211710,天津天津市河西区乐园道2号乐园大厦701-707室，805-807室,天津,天津市河西区乐园道２号乐园大厦７０１－７０７室、８０５－８０７室,津慈恩田,天津河西慈恩田医疗整形医院,105,56,49,55,1290050.00元,39.09105,117.21868
601,19211711,六安市六安市阳光威尼斯南区7#楼103.203铺,六安市,六安市阳光威尼斯南区7#楼103.203铺,安徽嘉秀,六安市嘉秀医疗美容有限公司,3,2,1,2,45000.00元,31.752581,116.508232
602,19211712,宜昌市宜昌市西陵区四新路1-207号,宜昌市,宜昌市西陵区四新路1-207号,宜昌伊莱,宜昌市西陵区伊莱美整形医疗美容门诊部,135,91,44,91,978285.00元,30.69894,111.28649
603,19211714,济南市济南市历下区泺源大街68号玉泉森信大酒店A座28层,济南市,济南市历下区文化东路28号,济南时光,济南时光医疗美容医院有限公司,127,80,47,80,1726620.00元,36.66004,117.02797
604,19211715,南通市南通市崇川区中南世纪城28幢0123-0221-0222-0221-0225室,南通市,南通市崇川区中南世纪城28幢0123-0221-0222-0221-0225室,南美贝尔, 南通美贝尔医疗美容门诊部有限公司,6,0,6,0,0.00元,31.97011,120.900871
605,19211717,济南市济南市槐荫区德裕家园二区3-1-117,济南市,济南市槐荫区德裕家园二区3-1-117,济南亿莱,济南亿莱医药信息咨询有限公司,2,2,0,2,44000.00元,36.65708,116.96752
606,19211718,东莞市东莞市莞城区东城南路东升大厦1楼12、13号铺位,东莞市,东莞市莞城区东城南路东升大厦1楼12、13号铺位,粤圣之慧,东莞莞城圣之慧医疗美容门诊部有限公司,52,35,17,35,509260.00元,23.02725,113.768982
607,19211719,合肥市安徽省合肥市新站区胜利北路瑞景家园4幢5号,合肥市,安徽省合肥市新站区胜利北路瑞景家园4幢5号,hffh,合肥瑶海福华医疗美容门诊部,2,0,2,0,0.00元,31.87811,117.311966
608,19211720,常州市常州市新北区嵩山路5号,常州市,常州市新北区嵩山路5号,曙光医疗,常州曙光医疗美容医院有限公司,75,33,42,33,324087.00元,31.81803,119.96236
609,19211721,成都市四川省德阳市庐山北路50号裕晖园综1幢1-2、2-2号,成都市,四川省德阳市庐山北路50号裕晖园综1幢1-2、2-2号,德阳东美,德阳东美奥拉克医疗美容整形门诊部（有限合伙）,269,172,97,171,2750396.00元,30.65984,104.10194
610,19211722,成都市遂宁市船山区盐市街97号,成都市,遂宁市船山区盐市街97号,遂宁伊莎,遂宁市伊莎贝拉医学美容门诊部,30,19,11,19,275360.00元,30.509553,105.57707
611,19211724,保定市河北省保定市竞秀区阳光北大街西侧天鹅西路南、假日雅典城第9幢2单元商业14号房,保定市,河北省保定市竞秀区天鹅西路南、假日雅典城第阳光北大街西侧假日雅典城第9幢2单元商业14号房,保定悦容,保定悦容医疗美容诊所,15,6,9,6,85537.00元,38.889271,115.480782
612,19211725,成都市成都市武侯区人民南路四段3号1栋12层,成都市,成都市武侯区人民南路四段3号1栋12层,成都悦丽,成都武侯悦丽医疗美容门诊部有限公司,12,9,3,9,96040.00元,30.63196,104.06711
613,19211726,湛江市湛江市人民大道中28号（琼盛中心9楼）,湛江市,湛江市人民大道中28号（琼盛中心9楼）,湛江名媛,湛江开发区名媛医学美容门诊部,7,2,5,1,15000.00元,21.22421,110.39533
614,19211727,南通市南通市崇川区青年中路61号,南通市,南通市崇川区青年中路61号,南通康美,南通康美美容医院有限公司,25,10,15,9,135408.00元,32.00414,120.8769
615,19211728,南通市南通市工农路324号,南通市,南通市工农路324号,南通城东,南通城东医疗美容门诊部,5,2,3,2,55800.00元,32.02404,120.8809
616,19211729,成都市成都市成华区建设北路三段2号1栋1单元26层4、5、6、7号,成都市,成都市成华区建设北路三段2号1栋1单元26层4、5、6、7号,川俏百颜,成都俏百颜生物科技有限公司,49,28,21,27,440564.00元,30.673929,104.107733
617,19211730,南通市南通市崇川区东昇花园4幢4层02室,南通市,南通市崇川区东昇花园4幢4层02室,玫瑰医疗,崇川区玫瑰医疗美容门诊部,1,1,0,1,14100.00元,32.021759,120.87899
